Наименование,Артикул,Описание,Характеристики,Картинки
Математика 6 класс. Рабочая тетрадь. В 2 частях. Часть 1. Обыкновенные и десятичные дроби,10095,Описания нет,"{'Автор:': 'Истомина Н.Б.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2021', 'Артикул:': '10095', 'Входит в УМК:': 'Нет', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-087248-5', 'Автор': 'Истомина Н.Б.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2021', 'Артикул': '10095', 'Входит в УМК': 'Нет', 'Федеральный перечень': 'Нет', 'Класс': '6 класс', 'Предмет': 'Математика', 'Тип материала': 'Рабочие тетради', 'Группа литературы': 'учебная литература для школы', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-09-087248-5', 'ФГОС': 'Нет'}",['Results\\10095\\10095.jpg']
Математика 6 класс. Рабочая тетрадь. В 2 частях. Часть 2. Рациональные числа,10096,Описания нет,"{'Автор:': 'Истомина Н.Б.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2021', 'Артикул:': '10096', 'Входит в УМК:': 'Нет', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-087249-2', 'Автор': 'Истомина Н.Б.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2021', 'Артикул': '10096', 'Входит в УМК': 'Нет', 'Федеральный перечень': 'Нет', 'Класс': '6 класс', 'Предмет': 'Математика', 'Тип материала': 'Рабочие тетради', 'Группа литературы': 'учебная литература для школы', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-09-087249-2', 'ФГОС': 'Нет'}",['Results\\10096\\10096.jpg']
Математика и Информатика 1-2 классы. Учимся решать комбинаторные задачи. Рабочая тетрадь. ФГОС,10103,"Задания тетради соответствуют требованиям ФГОС НОО и способствуют формированию у младших школьников универсальных учебных действий (познавательных, регулятивных, коммуникативных), а также развитию у детей таких качеств мышления, как гибкость и критичность; расширяют представления учащихся о способах моделирования.
В тетради приведено тематическое планирование внеурочных занятий с указанием цели каждого.
Тетрадь можно использовать во внеурочной деятельности в начальной школе, на практических занятиях будущих учителей начальных классов в педагогических вузах и колледжах.
Методические рекомендации к организации деятельности учащихся при выполнении заданий тетради изданы отдельным пособием для 1-4 классов.","{'Автор:': 'Истомина Н.Б. / Редько З.Б. / Виноградова Е.П.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2021-2022', 'Артикул:': '10103', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-091582-3', 'Автор': 'Истомина Н.Б. / Редько З.Б. / Виноградова Е.П.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2021-2022', 'Артикул': '10103', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '1, 2 класс', 'Предмет': 'Математика, Информатика', 'Тип материала': 'Рабочие тетради', 'Учебная система': 'Гармония', 'Группа литературы': 'учебная литература для школы', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-09-091582-3', 'ФГОС': 'Да'}",['Results\\10103\\10103.jpg']
Математика и Информатика 3 класс. Учимся решать комбинаторные задачи. Рабочая тетрадь. ФГОС,10104,"Задания тетради соответствуют требованиям ФГОС НОО и способствуют формированию у младших школьников универсальных учебных действий (познавательных, регулятивных, коммуникативных), а также развитию у детей таких качеств мышления, как гибкость и критичность; расширяют представления учащихся о способах моделирования. В тетради приведено тематическое планирование внеурочных занятий с указанием цели каждого. Тетрадь можно использовать во внеурочной деятельности в начальной школе, на практических занятиях будущих учителей начальных классов в педагогических вузах и колледжах.","{'Автор:': 'Истомина Н.Б. / Редько З.Б. / Виноградова Е.П.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2021', 'Артикул:': '10104', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-085071-1', 'Размеры (Д × Ш × В) в см:': '21.5 × 16.5 × 0.2', 'Автор': 'Истомина Н.Б. / Редько З.Б. / Виноградова Е.П.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2021', 'Артикул': '10104', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '3 класс', 'Предмет': 'Математика, Информатика', 'Тип материала': 'Рабочие тетради', 'Учебная система': 'Гармония', 'Группа литературы': 'учебная литература для школы', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-09-085071-1', 'ФГОС': 'Да', 'Размеры (Д × Ш × В) в см': '21.5 × 16.5 × 0.2'}",['Results\\10104\\10104.jpg']
Окружающий мир 3 класс. Рабочая тетрадь. В 2-х частях. Часть 2. ФГОС,10111,"Тетрадь входит в учебно-методический комплект по окружающему миру для 3 класса О. Т. Поглазовой, В. Д. Шилина. Она содержит разнообразные задания для усвоения учебного материала, проверки знаний и формирования универсальных учебных умений.","{'Автор:': 'Поглазова О.Т. / Шилин В.Д.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2022', 'Артикул:': '10111', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-088389-4', 'Автор': 'Поглазова О.Т. / Шилин В.Д.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2022', 'Артикул': '10111', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '3 класс', 'Предмет': 'Окружающий мир', 'Тип материала': 'Рабочие тетради', 'Учебная система': 'Гармония', 'Группа литературы': 'учебная литература для школы', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-09-088389-4', 'ФГОС': 'Да'}",['Results\\10111\\10111.jpg']
Наглядная геометрия 4 класс. ФГОС,10114,"Тетрадь «Наглядная геометрия» для 4 класса является продол­жением Тетрадей с одноимённым названием для 1, 2, 3 классов. Выполнение заданий Тетради способствует формированию у четверо­классников представлений о цилиндре, конусе и шаре как о телах вращения, полученных в результате вращения плоской фигуры во­круг оси; о взаимосвязи плоских и объёмных геометрических фи­гур; совершенствованию умений читать графическую информацию и изображать на плоскости пространственные фигуры. В соответствии с требованиями Федерального государственного образовательного стандарта начального общего образования Тетрадь целесообразно использовать для организации внеурочной деятельности по направлениям интеллектуального и общекультурного развития лич­ности в рамках предметной области «Математика и информатика».","{'Автор:': 'Истомина Н.Б. / Редько З.Б.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2022', 'Артикул:': '10114', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-088578-2', 'Автор': 'Истомина Н.Б. / Редько З.Б.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2022', 'Артикул': '10114', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '4 класс', 'Предмет': 'Геометрия', 'Тип материала': 'Учебно-наглядное пособие', 'ISBN': '978-5-09-088578-2', 'ФГОС': 'Да'}",['Results\\10114\\10114.jpg']
Окружающий мир 4 класс. Рабочая тетрадь. Часть 1. ФГОС,10131,"Тетрадь входит в учебно-методический комплект по окружающему миру для 4 класса О. Т. Поглазовой, В. Д. Шилина. Она содержит разнообразные задания для усвоения учебного материала, проверки знаний и формирования универсальных учебных умений.","{'Автор:': 'Поглазова О.Т. / Шилин В.Д.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2019', 'Артикул:': '10131', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-418-00466-6', 'Автор': 'Поглазова О.Т. / Шилин В.Д.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2019', 'Артикул': '10131', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '4 класс', 'Предмет': 'Окружающий мир', 'Тип материала': 'Рабочие тетради', 'Учебная система': 'Гармония', 'Группа литературы': 'учебная литература для школы', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-418-00466-6', 'ФГОС': 'Да'}",['Results\\10131\\10131.jpg']
Окружающий мир 3 класс. Рабочая тетрадь. В 2-х частях. Часть 1. ФГОС,10134,"Тетрадь входит в учебно-методический комплект по окружающему миру для 3 класса О. Т. Поглазовой, В. Д. Шилина. Она содержит разнообразные задания для усвоения учебного материала, проверки знаний и формирования универсальных учебных умений.","{'Автор:': 'Поглазова О.Т. / Шилин В.Д.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2022', 'Артикул:': '10134', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-088385-6', 'Автор': 'Поглазова О.Т. / Шилин В.Д.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2022', 'Артикул': '10134', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '3 класс', 'Предмет': 'Окружающий мир', 'Тип материала': 'Рабочие тетради', 'Учебная система': 'Гармония', 'Группа литературы': 'учебная литература для школы', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-09-088385-6', 'ФГОС': 'Да'}",['Results\\10134\\10134.jpg']
Русский язык 3 класс. Учебник. Часть 1. ФГОС,108,"Учебник, входящий в систему УМК ""Начальная школа ХХI века"", включает следующие тематические блоки: ""Как устроен наш язык"" где даются основы лингвистических знаний; ""Правописание"" где формируются навыки грамотного письма; ""Развитие речи"" где впервые организуется систематическая работа с текстом, его структурой, а также типами текстов. Содержание учебника позволяет организовать дифференцированное и индивидуальное обучение: помимо материала для обязательного усвоения, представлены темы ознакомительного характера. Учебник соответствует Федеральному государственному образовательному стандарту начального общего образования.","{'Автор:': 'Иванов С.В. / Кузнецова М.И.', 'Издательство:': 'Вентана-Граф', 'Год издания:': '2020-2022', 'Артикул:': '108', 'Входит в УМК:': 'Нет', 'Федеральный перечень:': 'Да', 'ISBN:': '978-5-09-087923-1', 'Автор': 'Иванов С.В. / Кузнецова М.И.', 'Издательство': 'Вентана-Граф', 'Год издания': '2020-2022', 'Артикул': '108', 'Входит в УМК': 'Нет', 'Федеральный перечень': 'Да', 'Класс': '3 класс', 'Предмет': 'Русский язык', 'Тип материала': 'Учебник', 'Учебная система': 'Начальная школа 21 века', 'ISBN': '978-5-09-087923-1', 'ФГОС': 'Да'}","['Results\\108\\1.jpg', 'Results\\108\\2.jpg', 'Results\\108\\3.jpg', 'Results\\108\\4.jpg', 'Results\\108\\5.jpg', 'Results\\108\\6.jpg']"
Литературное чтение 3 класс. Рабочая тетрадь №2. ФГОС,109,"Тетрадь по литературному чтению включает систему упражнений с текстами произведений, вошедших в учебник «Литературное чтение», 3 класс, ч. 2 и в учебную хрестоматию. Для формирования самоконтроля и самооценки разработана страничка «Проверьте себя», а также даны варианты контрольных работ по изученным разделам. Разнообразные задания развивающего и творческого характера вовлекают читателя в диалог с текстом, развивают чувство слова, обогащают речь, позволяют осуществлять дифференцированное обучение. Задания повышенной трудности, обозначенные значком (*), учащиеся выполняют по желанию. Соответствует федеральному государственному образовательному стандарту начального общего образования.","{'Автор:': 'Ефросинина Л.А.', 'Издательство:': 'Вентана-Граф', 'Год издания:': '2021-2022', 'Артикул:': '109', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-089757-0', 'Размеры (Д × Ш × В) в см:': '25.9 × 19.8 × 0.4', 'Автор': 'Ефросинина Л.А.', 'Издательство': 'Вентана-Граф', 'Год издания': '2021-2022', 'Артикул': '109', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '3 класс', 'Предмет': 'Литературное чтение', 'Тип материала': 'Рабочие тетради', 'Учебная система': 'Начальная школа 21 века', 'Группа литературы': 'учебная литература для школы', 'Количество страниц': '112', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-09-089757-0', 'ФГОС': 'Да', 'Размеры (Д × Ш × В) в см': '25.9 × 19.8 × 0.4'}","['Results\\109\\1.jpg', 'Results\\109\\2.jpg', 'Results\\109\\3.jpg', 'Results\\109\\4.jpg']"
Литературное чтение 3 класс. Рабочая тетрадь. Комплект из двух рабочих тетрадей. Часть 1. ФГОС,110,"Тетрадь по литературному чтению включает систему упражнений с текстами произведений, вошедших в учебник «Литературное чтение», 3 класс, ч. 1 и в учебную хрестоматию. Для формирования самоконтроля и самооценки разработана страничка «Проверьте себя», а также даны варианты контрольных работ по изученным разделам. Разнообразные задания развивающего и творческого характера вовлекают читателя в диалог с текстом, развивают чувство слова, обогащают речь, позволяют осуществлять дифференцированное обучение. Задания повышенной трудности, обозначенные значком (*), учащиеся выполняют по желанию. Соответствует федеральному государственномуобразовательному стандарту начального общего образования.","{'Автор:': 'Ефросинина Л.А.', 'Издательство:': 'Вентана-Граф', 'Год издания:': '2021-2022', 'Артикул:': '110', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-089756-3', 'Автор': 'Ефросинина Л.А.', 'Издательство': 'Вентана-Граф', 'Год издания': '2021-2022', 'Артикул': '110', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '3 класс', 'Предмет': 'Литературное чтение', 'Тип материала': 'Рабочие тетради', 'Учебная система': 'Начальная школа 21 века', 'Группа литературы': 'учебная литература для школы', 'Количество страниц': '112', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-09-089756-3', 'ФГОС': 'Да'}","['Results\\110\\1.jpg', 'Results\\110\\2.jpg', 'Results\\110\\3.jpg', 'Results\\110\\4.jpg']"
Учусь писать без ошибок 3 класс. Рабочая тетрадь. ФГОС,118,"Тетрадь используется вместе с учебником ""Русский язык. 3 класс"" (С.В. Иванов и др.) и рабочими тетрадями ""Пишем грамотно"" № 1 и № 2 (авт. М.И. Кузнецова). В тетради представлены задания разного уровня сложности, большое место в ней занимают упражнения, помогающие устранить трудности в усвоении наиболее сложных орфографических тем. Тетрадь может быть использована как для коллективной и индивидуальной работы на уроках, так и для самостоятельных занятий дома. Соответствует федеральному государственному образовательному стандарту начального общего образования (2009 г.).
","{'Автор:': 'Кузнецова М.И.', 'Издательство:': 'Вентана-Граф', 'Год издания:': '2021-2022', 'Артикул:': '118', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-089741-9', 'Размеры (Д × Ш × В) в см:': '26 × 17 × 0.5', 'Автор': 'Кузнецова М.И.', 'Издательство': 'Вентана-Граф', 'Год издания': '2021-2022', 'Артикул': '118', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '3 класс', 'Предмет': 'Русский язык', 'Тип материала': 'Рабочие тетради', 'Учебная система': 'Начальная школа 21 века', 'ISBN': '978-5-09-089741-9', 'ФГОС': 'Да', 'Размеры (Д × Ш × В) в см': '26 × 17 × 0.5'}","['Results\\118\\1.jpg', 'Results\\118\\2.jpg', 'Results\\118\\3.jpg', 'Results\\118\\4.jpg']"
Литература 5 класс. Учебник-хрестоматия. В 2-х частях. Часть 1. Вертикаль. ФГОС,14052,"Учебник-хрестоматия для учащихся 5 класса входит в учебно-методический комплекс по литературе для 5—11 классов, созданный по единой программе литературного образования, составленной Т. Ф. Курдюмовой; соответствует ФГОС основного общего образования. Учебник-хрестоматия ""Литература. 5 класс"" открывает процесс литературного образования школьников. Автор обращает внимание учащихся на истоки литературного процесса — мифологию, фольклор, а также знакомит пятиклассников с основами литературоведческих знаний.","{'Автор:': 'Курдюмова Т.Ф.', 'Издательство:': 'Просвещение/Союз', 'Год издания:': '2019', 'Артикул:': '14052', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Да', 'ISBN:': '978-5-358-21312-8', 'Автор': 'Курдюмова Т.Ф.', 'Издательство': 'Просвещение/Союз', 'Год издания': '2019', 'Артикул': '14052', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Да', 'Класс': '5 класс', 'Предмет': 'Литература', 'Тип материала': 'Учебник', 'Учебная система': 'Вертикаль', 'Группа литературы': 'учебная литература для школы', 'Количество страниц': '256', 'Тип обложки': 'твердый переплет', 'Серия издательства': 'Вертикаль', 'ISBN': '978-5-358-21312-8', 'ФГОС': 'Нет'}","['Results\\14052\\1.jpg', 'Results\\14052\\2.jpg', 'Results\\14052\\3.jpg', 'Results\\14052\\4.jpg', 'Results\\14052\\5.jpg', 'Results\\14052\\6.jpg', 'Results\\14052\\7.jpg']"
Литература 5 класс. Учебник-хрестоматия. В 2-х частях. Часть 2. Вертикаль. ФГОС,14053,"Учебник-хрестоматия входит в УМК для 5-9 классов, обеспечивающий преподавание по авторской программе литературного образования под редакцией М.Б.Ладыгина, и соответствует ФГОС. В него также входят книги для чтения ""Книжная полка"", рабочие тетради и методическое пособие для учителя. В основу концепции литературного образования положено изучение литературы как вида искусства, постижение литературного произведения в единстве формы и содержания, выявление национального своеобразия русской литературы. Учебник-хрестоматия предназначен для гуманитарного профиля с углубленным изучением литературы.","{'Автор:': 'Курдюмова Т.Ф.', 'Издательство:': 'Просвещение/Союз', 'Год издания:': '2019', 'Артикул:': '14053', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Да', 'ISBN:': '978-5-358-21313-5', 'Автор': 'Курдюмова Т.Ф.', 'Издательство': 'Просвещение/Союз', 'Год издания': '2019', 'Артикул': '14053', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Да', 'Класс': '5 класс', 'Предмет': 'Литература', 'Тип материала': 'Учебник', 'Учебная система': 'Вертикаль', 'Группа литературы': 'учебная литература для школы', 'Количество страниц': '264', 'Тип обложки': 'твердый переплет', 'Серия издательства': 'Вертикаль', 'ISBN': '978-5-358-21313-5', 'ФГОС': 'Нет'}","['Results\\14053\\1.jpg', 'Results\\14053\\2.jpg', 'Results\\14053\\3.jpg', 'Results\\14053\\4.jpg', 'Results\\14053\\5.jpg', 'Results\\14053\\6.jpg']"
Задачник по Физике 10-11 класс,14146,В сборник задач по физике включены задачи по всем разделам школьного курса для 10-11 классов. Расположение задач соответствует структуре учебных программ и учебников.,"{'Автор:': 'Рымкевич А.П.', 'Издательство:': 'Дрофа', 'Год издания:': '2021-2022', 'Артикул:': '14146', 'Входит в УМК:': 'Нет', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-090022-5', 'Размеры (Д × Ш × В) в см:': '24 × 17 × 1', 'Автор': 'Рымкевич А.П.', 'Издательство': 'Дрофа', 'Год издания': '2021-2022', 'Артикул': '14146', 'Входит в УМК': 'Нет', 'Федеральный перечень': 'Нет', 'Класс': '10, 11 класс', 'Предмет': 'Физика', 'Тип материала': 'Задачники', 'ISBN': '978-5-09-090022-5', 'ФГОС': 'Нет', 'Размеры (Д × Ш × В) в см': '24 × 17 × 1'}","['Results\\14146\\1.jpg', 'Results\\14146\\2.jpg', 'Results\\14146\\3.jpg', 'Results\\14146\\4.jpg']"
